product_name,price_tag,currency (IDR),link_product
Air Jordan 1 Low Midnight Navy,1300000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-low-midnight-navy-553558-141-ka/107943?from=search
Puma Palermo Vintage Black Frosted Ivory,1310000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-vintage-black-frosted-ivory-396841-04-ka/112266?from=search
New Balance 530 White Silver Navy,1310000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-white-silver-navy-mr530sg-ka-2/31647?from=search
Puma Suede XL Team Royal,1310000,IDR,https://www.kickavenue.com/sneakers/puma/puma-suede-xl-team-royal-395205-01-ka/108512?from=search
Adidas Samba OG Cream White Preloved Fig (Women's),1340000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-og-cream-white-preloved-fig-w-ie1417-ka/107679?from=search
Air Jordan 1 Low Inside Out Black,1350000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-low-inside-out-black-dn1635-001-ka-2/37191?from=search
Air Jordan 1 Low SE White Glacier Blue (Women's),1350000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-low-se-white-glacier-blue-w-hm3706-141-ka/109644?from=search
Nike Zoom Vomero 5 Valentine's Day (Women's),1360000,IDR,https://www.kickavenue.com/sneakers/nike/nike-zoom-vomero-5-valentines-day-w-hf0737-111-ka/96051?from=search
New Balance 530 White Silver Metallic,1370000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-white-silver-metallic-mr530ad-ka/58499?from=search
Vans Knu Skool Retro Color Brown,1370000,IDR,https://www.kickavenue.com/sneakers/vans/vans-knu-skool-retro-color-brown-vn0009qcbf2-ka/111638?from=search
New Balance 1906R Black Cream,1380000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906r-black-cream-m1906rk-ka-2/42093?from=search
Puma Palermo Vine Clementine,1380000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-vine-clementine-396463-05-ka/108470?from=search
